AK01|AK|1|Alaska|District 1|626932|69.3|3.5|15.6|4.0|0.5|5.4|1.6|4.1|67.6|3.4|7.8|51571|43.5|9.4|53.8|10.2|45.9|0.5|35.8|5.6|44.9|24.7|34.4|26.1|10.8||||52.5|28.5|0.2|0.3||
AL01|AL|1|Alabama|District 1|635300|68.5|28.1|1.0|1.0|0.0|1.0|0.4|1.3|67.8|28.0|1.8|34739|32.7|16.9|41.7|51.0|40.7|0.0|0.1|13.0|41.5|18.5|28.2|26.5|17.0||||52.4|23.0|0.3|0.2||
AL02|AL|2|Alabama|District 2|635300|67.7|29.6|0.4|0.6|0.0|1.0|0.5|1.5|67.0|29.4|1.4|32460|35.8|17.2|43.8|53.5|29.1|0.0|0.4|13.3|41.6|18.0|28.9|26.2|18.1||||51.3|22.1|0.3|0.3||
AL03|AL|3|Alabama|District 3|635300|65.5|32.4|0.3|0.6|0.0|0.8|0.4|1.2|64.9|32.2|1.4|30806|33.6|18.8|43.2|41.5|37.4|0.0|0.3|12.9|42.0|16.7|26.9|24.8|22.0||||48.9|20.4|0.2|0.2||
AL04|AL|4|Alabama|District 4|635300|91.7|5.2|0.4|0.2|0.0|1.0|1.5|3.0|90.4|5.1|2.2|31344|35.5|14.7|38.9|43.8|29.1|0.2|0.7|14.5|43.2|11.3|23.2|22.8|27.0||||59.0|24.4|0.2|0.2||
AL05|AL|5|Alabama|District 5|635300|78.8|17.0|1.0|1.0|0.0|1.6|0.7|2.0|77.7|16.9|2.1|38054|37.1|12.5|44.5|56.6|28.4|0.0|0.8|12.3|46.3|23.5|33.3|23.7|19.3||||55.2|24.1|0.2|0.2||
AL06|AL|6|Alabama|District 6|635300|89.7|7.7|0.3|0.9|0.0|0.8|0.6|1.6|88.8|7.7|2.2|46946|41.3|8.1|44.3|40.3|49.2|0.0|0.2|12.3|48.8|29.6|38.5|29.2|11.6||||59.6|27.0|0.2|0.2||
AL07|AL|7|Alabama|District 7|635300|36.0|62.0|0.2|0.6|0.0|0.7|0.5|1.3|35.5|61.7|1.7|26672|25.9|24.7|41.7|35.1|52.9|0.0|0.3|13.0|38.8|15.1|25.4|28.0|19.0||||38.8|16.6|0.3|0.3||
AR01|AR|1|Arkansas|District 1|668360|81.0|16.7|0.4|0.3|0.0|1.0|0.5|1.6|80.2|16.6|1.1|28940|35.2|18.5|44.5|30.9|42.0|0.0|0.2|15.2|41.5|12.3|24.9|23.9|24.1||||54.7|22.2|0.2|0.2||
AR02|AR|2|Arkansas|District 2|666058|76.6|19.5|0.5|0.9|0.0|1.3|1.1|2.4|75.6|19.4|2.5|37221|38.9|12.7|48.9|34.3|55.5|0.0|0.1|12.1|46.9|23.2|32.3|28.2|14.9||||52.0|22.2|0.2|0.3||
AR03|AR|3|Arkansas|District 3|672756|90.1|2.0|1.3|1.4|0.2|1.9|3.0|6.3|87.3|2.0|5.7|33915|38.7|13.7|51.2|32.1|49.4|0.0|0.1|13.1|46.1|17.9|27.9|25.1|22.1||||57.5|25.1|0.2|0.2||
AR04|AR|4|Arkansas|District 4|666226|72.1|24.5|0.5|0.4|0.0|1.1|1.3|2.7|71.0|24.4|2.3|29675|34.2|18.5|42.3|33.4|47.3|0.0|0.1|15.7|41.1|13.3|25.1|22.7|23.5||||53.1|21.5|0.2|0.3||
AZ01|AZ|1|Arizona|District 1|641329|65.8|1.3|22.6|0.5|0.1|2.2|7.5|16.4|58.4|1.2|17.7|32979|30.2|20.3|47.8|18.2|48.0|0.3|0.3|13.7|36.5|17.5|28.5|25.0|11.9||||53.9|22.3|0.3|0.4||
AZ02|AZ|2|Arizona|District 2|641329|85.5|2.2|2.2|1.7|0.1|2.3|6.0|14.2|78.4|2.1|9.0|42432|32.6|8.9|55.7|62.0|31.7|0.1|0.1|20.5|40.8|19.3|30.0|30.4|11.1||||58.8|21.1|0.3|0.3||
AZ03|AZ|3|Arizona|District 3|641329|85.7|2.4|1.3|2.1|0.1|2.5|5.8|14.1|78.5|2.3|11.9|48108|40.2|8.7|56.7|66.9|31.0|0.0|0.0|10.3|52.3|30.3|37.4|30.8|8.3||||49.0|22.2|0.5|0.3||
AZ04|AZ|4|Arizona|District 4|641329|54.2|7.9|3.2|1.4|0.1|4.2|29.1|58.0|29.3|7.5|41.9|30624|22.8|25.6|56.2|56.1|40.9|0.0|0.0|6.8|37.9|10.2|18.3|25.5|18.3||||42.6|25.1|0.6|0.5||
AZ05|AZ|5|Arizona|District 5|641329|83.0|2.8|2.1|3.4|0.2|2.7|5.9|13.3|76.8|2.7|11.1|51780|38.9|8.4|60.3|77.7|21.1|0.0|0.0|10.3|54.1|39.6|42.4|30.8|7.9||||47.4|20.4|0.4|0.3||
AZ06|AZ|6|Arizona|District 6|641329|84.2|2.1|1.0|1.8|0.2|2.5|8.2|17.2|76.6|1.9|10.9|47976|36.9|7.7|61.9|73.8|23.7|0.0|0.1|14.4|45.1|23.6|33.8|29.5|11.4||||59.8|26.8|0.2|0.3||
